"","lemma","Polarity","Emotion_Category","Personality"
"1","","P","1",NA
"2"," =-D","P","1",NA
"3","-.-","N","2",NA
"4","-3","P","1",NA
"5",";_;","N","2",NA
"6",";-)","P","1",NA
"7",";-]","P","1",NA
"8","；?；","N","2",NA
"9",";(","N","2",NA
"10",";)","P","1",NA
"11",";]","P","1",NA
"12",";^)","P","1",NA
"13",";D","P","1",NA
"14",": D","P","1",NA
"15",":-","P","1",NA
"16",":-,","P","1",NA
"17",":-?","P","1",NA
"18",":-?","P","1",NA
"19",":-.","N","4",NA
"20",":-(","N","2",NA
"21",":-)","P","1",NA
"22",":-)","P","1",NA
"23",":-))","P","1",NA
"24",":-[","N","2",NA
"25",":-/","N","4",NA
"26",":-<","N","2",NA
"27",":-|","0","0",NA
"28",":-||","N","4",NA
"29",":-3","P","1",NA
"30",":-b","P","1",NA
"31",":-c","N","2",NA
"32",":-D","P","1",NA
"33",":-O","0","5",NA
"34",":-P","P","1",NA
"35",":?","P","1",NA
"36",":?","P","1",NA
"37",":?)","P","1",NA
"38",":?)","P","1",NA
"39",":?C","N","2",NA
"40",":?C","N","2",NA
"41",":'-(","N","2",NA
"42",":'-)","P","1",NA
"43",":'(","N","2",NA
"44",":')","P","1",NA
"45",":"">","P","1",NA
"46",":(","N","2",NA
"47",":)","P","1",NA
"48",":)","P","1",NA
"49","：）","P","1",NA
"50","：））","P","1",NA
"51",":[","N","2",NA
"52",":]","P","1",NA
"53",":{","N","2",NA
"54",":}","P","1",NA
"55",":@","N","4",NA
"56",":*","P","1",NA
"57",":/","N","4",NA
"58",":\","N","4",NA
"59",":^)","P","1",NA
"60",":^*","P","1",NA
"61",":<","N","2",NA
"62",":>","P","1",NA
"63",":|","0","0",NA
"64",":$","N","2",NA
"65",":3","P","1",NA
"66",":b","P","1",NA
"67",":c","N","2",NA
"68",":c)","P","1",NA
"69",":D","P","1",NA
"70",":D","P","1",NA
"71",":L","N","4",NA
"72",":O","0","5",NA
"73",":o)","P","1",NA
"74",":P","P","1",NA
"75",":S","N","4",NA
"76",":v","P","1",NA
"77","!","0","5",NA
"78","!!!","P","5",NA
"79","！！！","P","1",NA
"80","?","P","1",NA
"81","?","P","1",NA
"82","?_?","N","2",NA
"83","?_?","N","4",NA
"84","?_??","N","4",NA
"85","?_?`","P","1",NA
"86","?_＞?","P","1",NA
"87","?－?","P","1",NA
"88","?!","0","5",NA
"89","??","0","5",NA
"90","???","P","1",NA
"91","???","P","1",NA
"92","???","P","1",NA
"93","??`","N","2",NA
"94","??`","P","1",NA
"95","?(??????‵)?","P","1",NA
"96","?(???)?","N","4",NA
"97","?(?▽`)/","P","1",NA
"98","?(`??)?","N","4",NA
"99","?(`??)?︵ ???","N","4",NA
"100","?(^。^)?","P","1",NA
"101","?(^o^)?","P","1",NA
"102","?(￣□￣;)","0","5",NA
"103","?直","P","1",1
"104","?ε?","P","1",NA
"105","...","N","",NA
"106","…","N","",NA
"107","""= =""","N","2",NA
"108","""=\""","N","4",NA
"109","""=L""","N","4",NA
"110","""=p""","P","1",NA
"111","""0:-3""","P","1",NA
"112","""0:3""","P","1",NA
"113","（ ???）","N","4",NA
"114","（ ???）","P","1",NA
"115","( '}{' )","P","1",NA
"116","( ^.< )","P","1",NA
"117","(-_-;)","N","",NA
"118","(-_-)","N","2",NA
"119","(-_-)zzz","N","",NA
"120","(;_;)","N","2",NA
"121","(?_?;)","N","",NA
"122","(?_?)","N","2",NA
"123","（?－?）","P","1",NA
"124","(?? ??)?","0","5",NA
"125","(??;)","N","",NA
"126","(??? )","P","1",NA
"127","(??????‵)","P","1",NA
"128","(??????‵)","P","1",NA
"129","(???)","P","1",NA
"130","(???)","P","1",NA
"131","（???）","P","1",NA
"132","(??///???///?‵)","P","1",NA
"133","(??⊿?)?","N","4",NA
"134","(??益?)?????","N","4",NA
"135","(?。?;)","N","",NA
"136","(?>???<‵)?","P","1",NA
"137","(?▽?)","P","1",NA
"138","（?▽?）","P","1",NA
"139","（?◇?）","P","1",NA
"140","(?o?)","P","1",NA
"141","（?ｕ?）","P","1",NA
"142","（?ｖ?）","P","1",NA
"143","('_')","N","2",NA
"144","(*???)","P","1",NA
"145","(*??⊙*)","P","1",NA
"146","（*?▽?*）","P","1",NA
"147","（*^_^*）","P","1",NA
"148","(*^。^*)","P","1",NA
"149","(*^^)","P","1",NA
"150","(*^▽^*)","P","1",NA
"151","(*^0^*)","P","1",NA
"152","(/???)/","P","1",NA
"153","(＃???)","N","4",NA
"154","(#^.^#)","P","1",NA
"155","(`??)?︵ ??? ┬─┬","N","4",NA
"156","(^ ^;)","N","",NA
"157","(^_^;)","N","",NA
"158","(^_^)/","P","1",NA
"159","(^?^)","P","1",NA
"160","(^.^)","P","1",NA
"161","(^。^)","P","1",NA
"162","(^^)","P","1",NA
"163","(^^)/","P","1",NA
"164","(^○^)","P","1",NA
"165","(^O^)","P","1",NA
"166","(^o^)?","P","1",NA
"167","(^O^)／","P","1",NA
"168","(°?°)","0","5",NA
"169","(+′-`)y","N","",NA
"170","(=_=)","N","2",NA
"171","(>_<)","N","2,3",NA
"172","(~_~;)","N","",NA
"173","(≧?≦)/","P","1",NA
"174","（╯‵□′）╯︵┴─┴","N","4",NA
"175","(╯°□°）╯︵ ???","N","4",NA
"176","（●?o?●）","P","1",NA
"177","(茶)","0","1",NA
"178","(菸)","0","1",NA
